sales_id,prod_id,emp_id,year,week,quantity
1,PROD_001,EMP244,2021,W0,23
2,PROD_001,EMP244,2021,W1,27
3,PROD_001,EMP244,2021,W2,37
4,PROD_001,EMP244,2021,W3,47
5,PROD_001,EMP244,2021,W4,42
6,PROD_001,EMP244,2021,W5,55
7,PROD_001,EMP244,2021,W6,59
8,PROD_001,EMP244,2021,W7,66
9,PROD_001,EMP244,2021,W8,91
10,PROD_001,EMP244,2021,W9,70
11,PROD_001,EMP244,2021,W10,62
12,PROD_001,EMP244,2021,W11,30
13,PROD_001,EMP244,2021,W12,47
14,PROD_001,EMP244,2021,W13,49
15,PROD_001,EMP244,2021,W14,44
16,PROD_001,EMP244,2021,W15,74
17,PROD_001,EMP244,2021,W16,87
18,PROD_001,EMP244,2021,W17,113
19,PROD_001,EMP244,2021,W18,94
20,PROD_001,EMP244,2021,W19,87
21,PROD_001,EMP244,2021,W20,124
22,PROD_001,EMP244,2021,W21,89
23,PROD_001,EMP244,2021,W22,93
24,PROD_001,EMP244,2021,W23,121
25,PROD_001,EMP244,2021,W24,91
26,PROD_001,EMP244,2021,W25,83
27,PROD_001,EMP244,2021,W26,36
28,PROD_001,EMP244,2021,W27,30
29,PROD_001,EMP244,2021,W28,46
30,PROD_001,EMP244,2021,W29,22
31,PROD_001,EMP244,2021,W30,24
32,PROD_001,EMP244,2021,W31,28
33,PROD_001,EMP244,2021,W32,37
34,PROD_001,EMP244,2021,W33,33
35,PROD_001,EMP244,2021,W34,40
36,PROD_001,EMP244,2021,W35,40
37,PROD_001,EMP244,2021,W36,47
38,PROD_001,EMP244,2021,W37,84
39,PROD_001,EMP244,2021,W38,37
40,PROD_001,EMP244,2021,W39,33
41,PROD_001,EMP244,2021,W40,41
42,PROD_001,EMP244,2021,W41,29
43,PROD_001,EMP244,2021,W42,33
44,PROD_001,EMP244,2021,W43,22
45,PROD_001,EMP244,2021,W44,21
46,PROD_001,EMP244,2021,W45,28
47,PROD_001,EMP244,2021,W46,35
48,PROD_001,EMP244,2021,W47,36
49,PROD_001,EMP244,2021,W48,36
50,PROD_001,EMP244,2021,W49,29
51,PROD_001,EMP244,2021,W50,31
52,PROD_001,EMP244,2021,W51,35
53,PROD_001,EMP244,2020,W0,27
54,PROD_001,EMP244,2020,W1,30
55,PROD_001,EMP244,2020,W2,40
56,PROD_001,EMP244,2020,W3,40
57,PROD_001,EMP244,2020,W4,56
58,PROD_001,EMP244,2020,W5,54
59,PROD_001,EMP244,2020,W6,73
60,PROD_001,EMP244,2020,W7,86
61,PROD_001,EMP244,2020,W8,66
62,PROD_001,EMP244,2020,W9,63
63,PROD_001,EMP244,2020,W10,49
64,PROD_001,EMP244,2020,W11,51
65,PROD_001,EMP244,2020,W12,53
66,PROD_001,EMP244,2020,W13,54
67,PROD_001,EMP244,2020,W14,64
68,PROD_001,EMP244,2020,W15,86
69,PROD_001,EMP244,2020,W16,77
70,PROD_001,EMP244,2020,W17,68
71,PROD_001,EMP244,2020,W18,79
72,PROD_001,EMP244,2020,W19,82
73,PROD_001,EMP244,2020,W20,89
74,PROD_001,EMP244,2020,W21,96
75,PROD_001,EMP244,2020,W22,95
76,PROD_001,EMP244,2020,W23,77
77,PROD_001,EMP244,2020,W24,56
78,PROD_001,EMP244,2020,W25,43
79,PROD_001,EMP244,2020,W26,35
80,PROD_001,EMP244,2020,W27,51
81,PROD_001,EMP244,2020,W28,30
82,PROD_001,EMP244,2020,W29,21
83,PROD_001,EMP244,2020,W30,31
84,PROD_001,EMP244,2020,W31,26
85,PROD_001,EMP244,2020,W32,37
86,PROD_001,EMP244,2020,W33,23
87,PROD_001,EMP244,2020,W34,57
88,PROD_001,EMP244,2020,W35,38
89,PROD_001,EMP244,2020,W36,45
90,PROD_001,EMP244,2020,W37,54
91,PROD_001,EMP244,2020,W38,58
92,PROD_001,EMP244,2020,W39,33
93,PROD_001,EMP244,2020,W40,23
94,PROD_001,EMP244,2020,W41,24
95,PROD_001,EMP244,2020,W42,38
96,PROD_001,EMP244,2020,W43,21
97,PROD_001,EMP244,2020,W44,28
98,PROD_001,EMP244,2020,W45,23
99,PROD_001,EMP244,2020,W46,30
100,PROD_001,EMP244,2020,W47,31
101,PROD_001,EMP244,2020,W48,34
102,PROD_001,EMP244,2020,W49,21
